resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
110,1095,842,213,10,12,10,10,0,24,+34.170,0 days 00:30:45.477000,3,00:01:15.290000,1
111,1095,817,1,3,14,11,11,0,24,+39.395,0 days 00:30:50.702000,5,00:01:15.385000,1
112,1095,854,210,47,20,12,12,0,24,+41.159,0 days 00:30:52.466000,5,00:01:15.771000,1
113,1095,855,51,24,17,13,13,0,24,+41.763,0 days 00:30:53.070000,7,00:01:15.765000,1
114,1095,822,51,77,18,14,14,0,24,+42.338,0 days 00:30:53.645000,8,00:01:15.980000,1
115,1095,852,213,22,19,15,15,0,24,+50.306,0 days 00:31:01.613000,4,00:01:16.413000,1
116,1095,840,117,18,15,16,16,0,24,+50.700,0 days 00:31:02.007000,4,00:01:15.425000,1
117,1095,839,214,31,6,17,17,0,24,+51.756,0 days 00:31:03.063000,5,00:01:16.097000,1
118,1095,4,214,14,7,18,18,0,24,+53.985,0 days 00:31:05.292000,5,00:01:14.764000,1
119,1095,849,3,6,16,19,19,0,24,+1:16.850,0 days 00:31:28.157000,4,00:01:16.525000,1
120,1095,848,3,23,11,\N,20,0,12,\N,,4,00:01:15.998000,31
121,1101,815,9,11,2,1,1,8,17,33:17.667,0 days 00:33:17.667000,11,00:01:43.616000,1
122,1101,844,6,16,1,2,2,7,17,+4.463,0 days 00:33:22.130000,12,00:01:43.646000,1
123,1101,830,9,1,3,3,3,6,17,+5.065,0 days 00:33:22.732000,10,00:01:43.723000,1
124,1101,847,131,63,4,4,4,5,17,+3.467,0 days 00:33:21.134000,10,00:01:44.409000,1
125,1101,832,6,55,5,5,5,4,17,+10.388,0 days 00:33:28.055000,11,00:01:44.398000,1
126,1101,4,117,14,8,6,6,3,17,+11.613,0 days 00:33:29.280000,12,00:01:44.544000,1
127,1101,1,131,44,6,7,7,2,17,+4.890,0 days 00:33:22.557000,8,00:01:44.601000,1
128,1101,840,117,18,9,8,8,1,17,+18.417,0 days 00:33:36.084000,14,00:01:44.855000,1
